1	1798387
2	1943153
3	1959867
4	1293031
5	1402546
6	1412858
7	1004959
8	1096591
9	1029279
10	826584
11	953269
12	920323
13	692807
14	675134
15	778218
16	636940
17	671555
18	616941
19	2025759
20	2097424
21	1869165
22	1297093
23	1196654
24	1227956
25	1022002
26	1049261
27	1099996
28	964346
29	815596
30	961952
31	762889
32	780426
33	885817
34	802610
35	666548
36	740366
37	1997865
38	2134383
39	2036228
40	1559370
41	1586643
42	1427503
43	1139461
44	1082808
45	1144020
46	904106
47	967192
48	960453
49	870320
50	787092
51	859341
52	682124
53	731788
54	791221
55	6882734
56	7351197
57	6962712
58	4877072
59	4525402
60	4481047
61	3784265
62	3930223
63	4119933
64	3061988
65	2938804
66	2853562
67	2423820
68	2553267
69	2720411
70	2266528
71	2450321
72	2231231
73	7181010
74	7008329
75	7426325
76	5257994
77	4602534
78	4771496
79	3906732
80	3572185
81	3788833
82	3044894
83	3177919
84	3264497
85	2622884
86	2617846
87	2649679
88	2380424
89	2416535
90	2531872
91	8127668
92	7248902
93	7233673
94	5286432
95	5320895
96	5114439
97	4076041
98	4278062
99	3868945
100	3127413
101	3256510
102	3416972
103	2831878
104	2783251
105	2731164
106	2277669
107	2505038
108	2467628
109	15592750
110	15825757
111	15907991
112	10470928
113	10494906
114	11295763
115	8210465
116	7982830
117	8238567
118	6743857
119	6825988
120	6475174
121	5416789
122	5292112
123	5369439
124	4670394
125	4522949
126	4907215
127	17071795
128	15586267
129	15972456
130	11599335
131	11521840
132	11032633
133	8100901
134	8923039
135	7880936
136	7281854
137	7319029
138	6289726
139	5460053
140	5851024
141	5242233
142	4890540
143	4981067
144	5000273
145	15926118
146	17357931
147	16869192
148	11183867
149	10258975
150	11270169
151	8320191
152	8601674
153	8961044
154	7330901
155	6558752
156	6915670
157	5865931
158	5518946
159	6491613
160	5157524
161	4980164
162	5318743
163	28546804
164	26894466
165	28903180
166	18186357
167	19719284
168	18406273
169	14627150
170	14178280
171	14267239
172	12075288
173	11694452
174	11546437
175	9774010
176	10178580
177	9839001
178	8620868
179	8356301
180	8104335
181	29037983
182	28725392
183	31029619
184	18203982
185	19329309
186	19982969
187	16079154
188	13864719
189	14082744
190	11867086
191	11678098
192	11434273
193	9956716
194	10081267
195	10082749
196	8649217
197	9224980
198	9040635
199	30085806
200	29318801
201	27857897
202	19160331
203	18606648
204	19247620
205	14685378
206	14651026
207	15294631
208	12369092
209	12303849
210	11957997
211	9881182
212	10160007
213	10053188
214	9257251
215	8752905
216	8865452
217	41913875
218	42091844
219	44835726
220	30038913
221	28406905
222	31552421
223	20077912
224	22242554
225	22197076
226	17704430
227	18076240
228	17624449
229	14703662
230	14735011
231	15346885
232	12352636
233	13585607
234	12571638
235	44599499
236	43977857
237	46325574
238	28254445
239	30896046
240	29193314
241	22455928
242	22246718
243	21833399
244	17932021
245	18859812
246	18734600
247	14801645
248	15977250
249	15882613
250	12463456
251	13192498
252	14235641
253	46199237
254	42797267
255	43711165
256	28470852
257	29080480
258	29868608
259	23609787
260	21712161
261	23437023
262	18077424
263	19141294
264	18460511
265	15890106
266	14861709
267	15149500
268	13852820
269	13139590
270	13954559
